loss,offset_decks,no,condition,dur_measured_decks,dur_win,deck_select,offset_win,init_mark,frames_before_decks,onset_decks,n_moves,exp_type,win,total,dur_decks,t_select,onset_win,session,t_moves,rt_select,frames_after_decks,ID
-250,,1,iowa_exp,,240,1,,1,72,0.9993051000001287,3,"['fMRI', 'EEG', 'MEG']",100,-150,600,3.2899694999996427,3.6898175999995146,1,"[2.08950250000089, 2.5733242000005703, 2.9397647000005236]",2.290664399999514,48,
0,,2,iowa_exp,,240,3,,2,72,6.367163900000378,0,"['fMRI', 'EEG', 'MEG']",50,-100,600,7.3423070999997435,7.74975749999976,1,[],0.9751431999993656,48,
0,,3,iowa_exp,,240,4,,1,72,10.360356500001217,2,"['fMRI', 'EEG', 'MEG']",50,-50,600,12.043299700000716,12.44329480000124,1,"[11.034541600000011, 11.368852400000833]",1.6829431999994995,48,
0,,4,iowa_exp,,240,2,,1,72,16.87150180000026,0,"['fMRI', 'EEG', 'MEG']",100,50,600,17.70384550000017,18.103735500000766,1,[],0.8323436999999103,48,
0,,5,iowa_exp,,240,4,,2,72,21.38987410000118,1,"['fMRI', 'EEG', 'MEG']",50,100,600,22.45567409999967,22.85570589999952,1,[21.81382620000113],1.0657999999984895,48,
-50,,6,iowa_exp,,240,3,,1,72,26.04148400000122,1,"['fMRI', 'EEG', 'MEG']",50,100,600,27.282624400000714,27.682522799999788,1,[26.765805200000614],1.2411403999994945,48,
0,,7,iowa_exp,,240,2,,1,72,30.37648790000094,0,"['fMRI', 'EEG', 'MEG']",100,200,600,31.300769299999956,31.700770499999635,1,[],0.9242813999990176,48,
0,,8,iowa_exp,,240,3,,0,72,34.3614247000005,2,"['fMRI', 'EEG', 'MEG']",50,250,600,36.12774189999982,36.52763969999978,1,"[35.24414590000015, 35.63636940000106]",1.766317199999321,48,
-250,,9,iowa_exp,,240,4,,2,72,39.16326740000113,1,"['fMRI', 'EEG', 'MEG']",50,50,600,40.23769639999955,40.637566100000186,1,[39.74582660000124],1.0744289999984176,48,
-250,,10,iowa_exp,,240,1,,3,72,43.290086099999826,1,"['fMRI', 'EEG', 'MEG']",100,-100,600,44.38341659999969,44.78916840000056,1,[43.814101899999514],1.0933304999998654,48,
0,,11,iowa_exp,,240,2,,3,72,47.449804300000324,2,"['fMRI', 'EEG', 'MEG']",100,0,600,48.942350299999816,49.34930379999969,1,"[48.19946230000096, 48.59091690000059]",1.4925459999994928,48,
-50,,12,iowa_exp,,240,3,,3,72,51.960095800001,3,"['fMRI', 'EEG', 'MEG']",50,0,600,53.28441490000114,53.68433440000081,1,"[52.26729999999952, 52.70921230000022, 53.009305999999924]",1.3243191000001389,48,
0,,13,iowa_exp,,240,2,,1,72,56.336753800000224,0,"['fMRI', 'EEG', 'MEG']",100,100,600,57.24599289999969,57.64417060000051,1,[],0.9092390999994677,48,
-50,,14,iowa_exp,,240,3,,1,72,60.288270700000794,1,"['fMRI', 'EEG', 'MEG']",50,100,600,61.09584829999949,61.49567630000092,1,[60.71336599999995],0.8075775999986945,48,
0,,15,iowa_exp,,240,2,,0,72,64.13141949999954,1,"['fMRI', 'EEG', 'MEG']",100,200,600,65.07237950000126,65.47225509999953,1,[64.68880960000024],0.9409600000017235,48,
0,,16,iowa_exp,,240,3,,3,72,68.09952239999984,3,"['fMRI', 'EEG', 'MEG']",50,250,600,69.74915630000032,70.14909350000016,1,"[68.42366760000004, 68.8404558000002, 69.28235339999992]",1.649633900000481,48,
0,,17,iowa_exp,,240,2,,1,72,72.76803819999986,0,"['fMRI', 'EEG', 'MEG']",100,350,600,73.62562539999999,74.0256231000003,1,[],0.8575872000001254,48,
0,,18,iowa_exp,,240,3,,2,72,76.64452090000123,0,"['fMRI', 'EEG', 'MEG']",50,400,600,77.2854554000005,77.68535280000106,1,[],0.6409344999992754,48,
-1250,,19,iowa_exp,,240,2,,2,72,80.35443110000051,3,"['fMRI', 'EEG', 'MEG']",100,-750,600,82.27912310000102,82.6789847,1,"[81.14594150000084, 81.43762170000082, 81.79558610000095]",1.9246920000005048,48,
0,,20,iowa_exp,,240,3,,3,72,85.39808980000089,3,"['fMRI', 'EEG', 'MEG']",50,-700,600,87.19756280000001,87.59752450000087,1,"[86.12217349999992, 86.5307298000007, 86.814169700001]",1.799472999999125,48,
0,,21,iowa_exp,,240,4,,3,72,90.20841289999953,4,"['fMRI', 'EEG', 'MEG']",50,-650,600,92.39128770000025,92.79120580000017,1,"[90.69059060000109, 91.2747130000007, 91.54936149999958, 92.04115290000118]",2.182874800000718,48,
0,,22,iowa_exp,,240,1,,0,72,95.43529740000122,0,"['fMRI', 'EEG', 'MEG']",100,-550,600,96.00937880000129,96.40932760000032,1,[],0.5740814000000682,48,
0,,23,iowa_exp,,240,1,,0,72,99.0782833000012,0,"['fMRI', 'EEG', 'MEG']",100,-450,600,99.67836669999997,100.07745179999984,1,[],0.6000833999987663,48,
0,,24,iowa_exp,,240,4,,2,72,102.69639710000047,1,"['fMRI', 'EEG', 'MEG']",50,-400,600,103.73742700000003,104.13733400000092,1,[103.32886870000038],1.0410298999995575,48,
0,,25,iowa_exp,,240,1,,3,72,106.75633039999957,1,"['fMRI', 'EEG', 'MEG']",100,-300,600,107.79738670000006,108.19725319999998,1,[107.2224755999996],1.0410563000004913,48,
0,,26,iowa_exp,,240,4,,2,72,110.8412188000002,1,"['fMRI', 'EEG', 'MEG']",50,-250,600,111.69055529999969,112.09044650000033,1,[111.34051030000046],0.849336499999481,48,
0,,27,iowa_exp,,240,4,,1,72,114.70940490000066,2,"['fMRI', 'EEG', 'MEG']",50,-200,600,115.91935240000021,116.32543670000086,1,"[115.30097550000028, 115.5920698000009]",1.2099474999995437,48,
-250,,28,iowa_exp,,240,1,,1,72,118.952722,3,"['fMRI', 'EEG', 'MEG']",100,-350,600,121.39426480000111,121.7942793000002,1,"[120.37721469999997, 120.67829110000093, 121.01919840000119]",2.441542800001116,48,
0,,29,iowa_exp,,240,4,,3,72,124.46322359999976,0,"['fMRI', 'EEG', 'MEG']",50,-300,600,125.56250750000072,125.96255370000108,1,[],1.0992839000009553,48,
0,,30,iowa_exp,,240,4,,3,72,128.58977700000105,0,"['fMRI', 'EEG', 'MEG']",50,-250,600,129.30590310000116,129.70564120000017,1,[],0.7161261000001105,48,
0,,31,iowa_exp,,240,4,,0,72,132.32470860000103,3,"['fMRI', 'EEG', 'MEG']",50,-200,600,133.91679880000083,134.32411270000011,1,"[132.90787850000015, 133.19894250000107, 133.56569330000093]",1.5920901999998023,48,
