loss,offset_decks,no,condition,dur_measured_decks,dur_win,deck_select,offset_win,init_mark,frames_before_decks,onset_decks,n_moves,exp_type,win,total,dur_decks,t_select,onset_win,session,t_moves,rt_select,frames_after_decks,ID
-250,,1,iowa_exp,,240,1,,1,72,1.0053987000010238,3,"['fMRI', 'EEG', 'MEG']",100,-150,600,3.536720400001286,3.9365280000001803,3,"[2.477815600001122, 2.7946114000005764, 3.178648700000849]",2.5313217000002624,48,
0,,2,iowa_exp,,240,2,,1,72,6.614195500000278,0,"['fMRI', 'EEG', 'MEG']",100,-50,600,7.179675299999872,7.579578300001231,3,[],0.5654797999995935,48,
0,,3,iowa_exp,,240,2,,0,72,10.22360579999986,1,"['fMRI', 'EEG', 'MEG']",100,50,600,11.114868300001035,11.514453700001468,3,[10.797828800001298],0.8912625000011758,48,
0,,4,iowa_exp,,240,2,,0,72,14.141767500001151,1,"['fMRI', 'EEG', 'MEG']",100,150,600,14.874262200000885,15.274230000000898,3,[14.557694300001458],0.7324946999997337,48,
0,,5,iowa_exp,,240,3,,3,72,17.984908200000064,3,"['fMRI', 'EEG', 'MEG']",50,200,600,19.385316400001102,19.784330300000875,3,"[18.5590884000012, 18.850800600001094, 19.117691400000695]",1.4004082000010385,48,
0,,6,iowa_exp,,240,4,,0,72,22.436719299999822,3,"['fMRI', 'EEG', 'MEG']",50,250,600,23.661276500000895,24.0609897000013,3,"[22.83657790000143, 23.11922980000054, 23.360987800000657]",1.2245572000010725,48,
0,,7,iowa_exp,,240,2,,1,72,26.67996040000071,0,"['fMRI', 'EEG', 'MEG']",100,350,600,27.32174760000089,27.729095900000175,3,[],0.6417872000001807,48,
0,,8,iowa_exp,,240,3,,0,72,30.35655980000047,2,"['fMRI', 'EEG', 'MEG']",50,400,600,31.247309700000187,31.64733680000063,3,"[30.7471512000011, 30.997553200000766]",0.8907498999997188,48,
0,,9,iowa_exp,,240,4,,2,72,34.266263500001514,1,"['fMRI', 'EEG', 'MEG']",50,450,600,34.99053460000141,35.39046710000002,3,[34.67381759999989],0.7242710999998963,48,
0,,10,iowa_exp,,240,3,,3,72,38.24277460000121,3,"['fMRI', 'EEG', 'MEG']",50,500,600,39.55067750000126,39.9504993999999,3,"[38.5834872000014, 38.91782550000062, 39.25057800000104]",1.3079029000000446,48,
0,,11,iowa_exp,,240,4,,3,72,42.586154100001295,0,"['fMRI', 'EEG', 'MEG']",50,550,600,43.17709020000075,43.5769360000013,3,[],0.5909360999994533,48,
-50,,12,iowa_exp,,240,3,,3,72,46.23761139999988,3,"['fMRI', 'EEG', 'MEG']",50,550,600,47.56209680000029,47.96204000000034,3,"[46.70343800000046, 47.00354430000152, 47.27861960000155]",1.3244854000004125,48,
0,,13,iowa_exp,,240,3,,1,72,50.63933210000141,1,"['fMRI', 'EEG', 'MEG']",50,600,600,51.52279129999988,51.93019810000078,3,[51.03177770000002],0.8834591999984696,48,
0,,14,iowa_exp,,240,3,,1,72,54.63258219999989,1,"['fMRI', 'EEG', 'MEG']",50,650,600,55.59151500000007,55.99009860000115,3,[55.04899470000055],0.9589328000001842,48,
-50,,15,iowa_exp,,240,3,,2,72,58.62578040000153,0,"['fMRI', 'EEG', 'MEG']",50,650,600,59.225117100000716,59.62493770000037,3,[],0.5993366999991849,48,
-250,,16,iowa_exp,,240,4,,2,72,62.252231700000266,1,"['fMRI', 'EEG', 'MEG']",50,450,600,62.9681528000001,63.36801379999997,3,[62.66008800000054],0.7159210999998322,48,
0,,17,iowa_exp,,240,2,,1,72,66.0285956000007,0,"['fMRI', 'EEG', 'MEG']",100,550,600,67.0040998000004,67.41125470000043,3,[],0.9755041999997047,48,
0,,18,iowa_exp,,240,3,,3,72,70.03019300000051,3,"['fMRI', 'EEG', 'MEG']",50,600,600,71.23805390000052,71.63786150000124,3,"[70.35434830000122, 70.73015550000127, 70.9712324000011]",1.2078609000000142,48,
0,,19,iowa_exp,,240,3,,2,72,74.2901894000006,0,"['fMRI', 'EEG', 'MEG']",50,650,600,74.82267910000155,75.22264200000063,3,[],0.5324897000009514,48,
-50,,20,iowa_exp,,240,3,,3,72,77.87497480000093,3,"['fMRI', 'EEG', 'MEG']",50,650,600,79.24113990000114,79.64102520000051,3,"[78.44098180000037, 78.73260380000102, 78.96594350000123]",1.3661651000002166,48,
0,,21,iowa_exp,,240,3,,1,72,82.35174069999994,1,"['fMRI', 'EEG', 'MEG']",50,700,600,83.06831480000073,83.46747950000099,3,[82.73412690000077],0.7165741000007984,48,
0,,22,iowa_exp,,240,3,,2,72,86.06979920000049,0,"['fMRI', 'EEG', 'MEG']",50,750,600,86.61058290000074,87.01049899999998,3,[],0.5407837000002473,48,
-50,,23,iowa_exp,,240,3,,2,72,89.62951000000066,0,"['fMRI', 'EEG', 'MEG']",50,750,600,90.22075089999998,90.62031410000054,3,[],0.5912408999993204,48,
-50,,24,iowa_exp,,240,3,,1,72,93.29759100000047,1,"['fMRI', 'EEG', 'MEG']",50,750,600,94.1552683000009,94.5551359000001,3,[93.79681230000097],0.8576773000004323,48,
0,,25,iowa_exp,,240,4,,0,72,97.21584040000016,3,"['fMRI', 'EEG', 'MEG']",50,800,600,98.39853159999984,98.79851039999994,3,"[97.62329300000056, 97.88196130000142, 98.12351130000025]",1.182691199999681,48,
-50,,26,iowa_exp,,240,3,,0,72,101.45077990000027,2,"['fMRI', 'EEG', 'MEG']",50,800,600,102.33370030000151,102.73337840000022,3,"[101.85088780000115, 102.10035760000028]",0.8829204000012396,48,
0,,27,iowa_exp,,240,4,,0,72,105.3773411000002,3,"['fMRI', 'EEG', 'MEG']",50,850,600,106.52675900000031,106.92664900000091,3,"[105.75143770000068, 106.0098882000002, 106.26002040000094]",1.1494179000001168,48,
0,,28,iowa_exp,,240,4,,2,72,109.56232100000125,1,"['fMRI', 'EEG', 'MEG']",50,900,600,110.44495180000013,110.8448483000011,3,[109.88640990000022],0.8826307999988785,48,
0,,29,iowa_exp,,240,4,,0,72,113.48056610000094,3,"['fMRI', 'EEG', 'MEG']",50,950,600,114.76347170000008,115.16319170000133,3,"[113.87961220000034, 114.17140560000007, 114.44667950000076]",1.2829055999991397,48,
0,,30,iowa_exp,,240,4,,3,72,117.798827300001,0,"['fMRI', 'EEG', 'MEG']",50,1000,600,118.38967700000103,118.78962970000066,3,[],0.5908497000000352,48,
0,,31,iowa_exp,,240,3,,2,72,121.42523620000065,0,"['fMRI', 'EEG', 'MEG']",50,1050,600,122.44959200000085,122.84957720000057,3,[],1.024355800000194,48,
0,,32,iowa_exp,,240,4,,0,72,125.51864240000032,3,"['fMRI', 'EEG', 'MEG']",50,1100,600,126.80961790000038,127.2096087000009,3,"[125.93436680000013, 126.21778440000162, 126.51789749999989]",1.2909755000000587,48,
0,,33,iowa_exp,,240,3,,1,72,129.86194140000043,1,"['fMRI', 'EEG', 'MEG']",50,1150,600,130.5944096000003,130.9944155000012,3,[130.2777412000014],0.7324681999998575,48,
0,,34,iowa_exp,,240,4,,1,72,133.62166210000032,2,"['fMRI', 'EEG', 'MEG']",50,1200,600,134.55483679999998,134.95422730000064,3,"[134.0291769000014, 134.2958490000001]",0.933174699999654,48,
-50,,35,iowa_exp,,240,3,,1,72,137.62320080000063,1,"['fMRI', 'EEG', 'MEG']",50,1200,600,138.37264010000035,138.77239379999992,3,[137.98910330000035],0.7494392999997217,48,
0,,36,iowa_exp,,240,4,,3,72,141.47486209999988,0,"['fMRI', 'EEG', 'MEG']",50,1250,600,142.19151340000099,142.5988784000001,3,[],0.7166513000011037,48,
-50,,37,iowa_exp,,240,3,,3,72,145.27629490000072,3,"['fMRI', 'EEG', 'MEG']",50,1250,600,146.6424145000001,147.04233130000102,3,"[145.7170799000014, 145.9929710000015, 146.27560300000005]",1.3661195999993652,48,
0,,38,iowa_exp,,240,4,,0,72,149.71130670000093,3,"['fMRI', 'EEG', 'MEG']",50,1300,600,150.9857995000002,151.3856792000006,3,"[150.1270299000007, 150.37720609999997, 150.6523098000016]",1.2744927999992797,48,
0,,39,iowa_exp,,240,3,,1,72,154.02967739999985,1,"['fMRI', 'EEG', 'MEG']",50,1350,600,154.79564700000083,155.19544690000112,3,[154.45372440000028],0.7659696000009717,48,
0,,40,iowa_exp,,240,4,,0,72,157.83943010000075,3,"['fMRI', 'EEG', 'MEG']",50,1400,600,159.60576110000147,160.00576180000098,3,"[158.33879460000026, 158.63866940000116, 159.2806367000012]",1.7663310000007186,48,
